Distance,Rx,Ry,Rz,Atom1,Atom2,Orb1,Orb2,ReH,ImH,rx,ry,rz
4.9780318,-2,0,0,1,1,pz,pz,-19.063,0.0,4.9780318,0.0,0.0
4.9780318,2,0,0,1,1,pz,pz,-19.063,-0.0,-4.9780318,0.0,0.0
4.9780318,-2,0,0,2,2,pz,pz,-19.063,-0.0,4.9780318,0.0,0.0
4.9780318,2,0,0,2,2,pz,pz,-19.063,0.0,-4.9780318,0.0,0.0
4.978031850305902,-2,-2,0,1,1,pz,pz,-19.066,0.0,2.4890160000000003,4.311102,0.0
4.978031850305902,2,2,0,1,1,pz,pz,-19.066,-0.0,-2.4890160000000003,-4.311102,0.0
4.978031850305902,-2,-2,0,2,2,pz,pz,-19.066,-0.0,2.4890160000000003,4.311102,0.0
4.978031850305902,2,2,0,2,2,pz,pz,-19.066,0.0,-2.4890160000000003,-4.311102,0.0
5.181200104195393,1,2,0,1,2,pz,pz,-9.703,0.0,1.2443833825399997,-5.0295471483,0.0
5.181200104195393,-1,-2,0,2,1,pz,pz,-9.703,-0.0,-1.2443833825399997,5.0295471483,0.0
5.181200163874834,-2,-1,0,1,2,pz,pz,-9.707,-0.0,4.97790738254,1.4371058517000002,0.0
5.181200163874834,2,1,0,2,1,pz,pz,-9.707,0.0,-4.97790738254,-1.4371058517000002,0.0
5.181259945273107,2,2,0,1,2,pz,pz,-9.696,0.0,-1.2446325174600004,-5.0295471483,0.0
5.181259945273107,-2,-2,0,2,1,pz,pz,-9.696,-0.0,1.2446325174600004,5.0295471483,0.0
5.181259977099866,-2,-2,0,1,2,pz,pz,-9.693999999999999,-0.0,3.7333994825400003,3.5926568517,0.0
5.181259977099866,2,2,0,2,1,pz,pz,-9.693999999999999,0.0,-3.7333994825400003,-3.5926568517,0.0
5.18143920796232,1,-2,0,1,2,pz,pz,-9.699,0.0,-3.73364821746,3.5926568517,0.0
5.18143920796232,-1,2,0,2,1,pz,pz,-9.699,-0.0,3.73364821746,-3.5926568517,0.0
5.18143923581335,2,-1,0,1,2,pz,pz,-9.705,-0.0,-4.9781562174600005,1.4371058517000002,0.0
5.18143923581335,-2,1,0,2,1,pz,pz,-9.705,0.0,4.9781562174600005,-1.4371058517000002,0.0
5.747992238513202,-1,1,0,1,2,pz,pz,-22.279,0.0,4.97790728254,-2.8739961483,0.0
5.747992238513202,1,-1,0,2,1,pz,pz,-22.279,-0.0,-4.97790728254,2.8739961483,0.0
5.748207853044318,-1,-3,0,1,2,pz,pz,-22.269000000000002,0.0,-0.0001243174599996344,5.7482078517,0.0
5.748207853044318,1,3,0,2,1,pz,pz,-22.269000000000002,-0.0,0.0001243174599996344,-5.7482078517,0.0
5.74820791042827,3,1,0,1,2,pz,pz,-22.273999999999997,-0.0,-4.97815631746,-2.8739961483,0.0
5.74820791042827,-3,-1,0,2,1,pz,pz,-22.273999999999997,0.0,4.97815631746,2.8739961483,0.0
6.263754043690001,0,2,0,1,2,pz,pz,6.172000000000001,-0.0,3.7333992825399998,-5.0295471483,0.0
6.263754043690001,0,-2,0,2,1,pz,pz,6.172000000000001,0.0,-3.7333992825399998,5.0295471483,0.0
6.263754096346947,-2,0,0,1,2,pz,pz,6.173,-0.0,6.22241528254,-0.7184451483,0.0
6.263754096346947,2,0,0,2,1,pz,pz,6.173,0.0,-6.22241528254,0.7184451483,0.0
6.263902522867354,-2,-3,0,1,2,pz,pz,6.171,-0.0,2.4888915825400004,5.7482078517,0.0
6.263902522867354,2,3,0,2,1,pz,pz,6.171,0.0,-2.4888915825400004,-5.7482078517,0.0
6.2639025393259615,3,2,0,1,2,pz,pz,6.171,-0.0,-3.7336484174600004,-5.0295471483,0.0
6.2639025393259615,-3,-2,0,2,1,pz,pz,6.171,0.0,3.7336484174600004,5.0295471483,0.0
6.264001319326357,0,-3,0,1,2,pz,pz,6.171,0.0,-2.4891402174599997,5.7482078517,0.0
6.264001319326357,0,3,0,2,1,pz,pz,6.171,-0.0,2.4891402174599997,-5.7482078517,0.0
6.2640013884395715,3,0,0,1,2,pz,pz,6.172000000000001,0.0,-6.22266421746,-0.7184451483,0.0
6.2640013884395715,-3,0,0,2,1,pz,pz,6.172000000000001,-0.0,6.22266421746,0.7184451483,0.0
6.585317005323956,-1,2,0,1,1,pz,pz,4.32,-0.0,4.9780317,-4.311102,0.0
6.585317005323956,1,-2,0,1,1,pz,pz,4.32,0.0,-4.9780317,4.311102,0.0
6.585317005323956,-1,2,0,2,2,pz,pz,4.32,0.0,4.9780317,-4.311102,0.0
6.585317005323956,1,-2,0,2,2,pz,pz,4.32,-0.0,-4.9780317,4.311102,0.0
6.585317033497863,-2,1,0,1,1,pz,pz,4.322,-0.0,6.2225397000000005,-2.155551,0.0
6.585317033497863,2,-1,0,1,1,pz,pz,4.322,0.0,-6.2225397000000005,2.155551,0.0
6.585317033497863,-2,1,0,2,2,pz,pz,4.322,0.0,6.2225397000000005,-2.155551,0.0
6.585317033497863,2,-1,0,2,2,pz,pz,4.322,-0.0,-6.2225397000000005,2.155551,0.0
6.585317052858567,-1,-3,0,1,1,pz,pz,4.32,-0.0,-1.2445077999999996,6.466653,0.0
6.585317052858567,1,3,0,1,1,pz,pz,4.32,0.0,1.2445077999999996,-6.466653,0.0
